frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
60,1,motorbike,688,309,52,73
60,2,motorbike,781,291,39,59
60,8,motorbike,832,291,36,59
60,10,motorbike,891,293,33,54
60,13,motorbike,875,287,27,53
60,3,person,455,322,10,57
61,1,smallcar,536,282,27,39
61,6,smallcar,543,264,16,20
61,1,motorbike,680,309,52,74
61,2,motorbike,773,289,41,62
61,8,motorbike,826,291,36,59
61,10,motorbike,886,293,33,56
61,13,motorbike,872,288,26,52
61,3,person,455,322,10,57
62,1,smallcar,535,278,29,43
62,6,smallcar,543,264,16,20
62,1,motorbike,674,310,52,74
62,2,motorbike,765,284,45,69
62,8,motorbike,822,293,36,57
62,10,motorbike,883,293,34,56
62,13,motorbike,869,287,28,55
62,16,motorbike,912,283,24,44
62,3,person,455,321,10,59
63,1,smallcar,535,277,30,43
63,1,motorbike,669,311,51,73
63,2,motorbike,761,289,42,63
63,8,motorbike,819,294,35,56
63,13,motorbike,866,287,29,55
63,16,motorbike,910,282,25,46
63,17,motorbike,972,286,34,68
63,3,person,454,321,12,59
65,1,smallcar,536,277,28,42
65,1,motorbike,664,313,50,71
65,2,motorbike,757,287,42,66
65,8,motorbike,815,294,36,57
65,13,motorbike,863,288,29,56
65,16,motorbike,907,282,26,47
65,17,motorbike,974,286,33,67
65,3,person,454,321,12,59
66,1,smallcar,536,276,29,42
66,1,motorbike,654,313,51,74
66,2,motorbike,750,293,39,61
66,8,motorbike,809,295,36,57
66,13,motorbike,860,290,28,54
66,16,motorbike,903,281,27,49
66,17,motorbike,974,287,33,66
66,3,person,455,320,11,61
67,1,smallcar,536,274,29,43
67,1,motorbike,646,313,52,75
67,2,motorbike,744,296,38,58
67,8,motorbike,804,296,35,56
67,13,motorbike,856,291,29,54
67,16,motorbike,901,282,27,48
67,17,motorbike,975,287,33,66
67,3,person,455,319,11,62
69,1,smallcar,536,273,30,44
69,1,motorbike,640,314,53,75
69,2,motorbike,739,299,37,56
69,8,motorbike,800,298,36,55
69,13,motorbike,854,291,29,55
69,16,motorbike,898,282,29,50
69,18,motorbike,946,280,28,52
69,3,person,455,319,11,62
70,1,smallcar,537,273,29,44
70,1,motorbike,634,315,53,75
70,2,motorbike,734,300,38,56
70,8,motorbike,795,298,36,55
