frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
57,5,smallcar,727,270,76,41
57,1,motorbike,831,310,54,76
57,2,motorbike,998,286,35,63
57,3,motorbike,1034,286,33,59
57,14,motorbike,806,277,17,31
57,2,bigcar,279,486,253,233
57,4,person,984,459,40,162
58,1,smallcar,491,333,53,60
58,2,smallcar,523,287,43,61
58,3,smallcar,950,273,80,53
58,4,smallcar,106,367,66,51
58,5,smallcar,727,270,76,41
58,1,motorbike,831,310,53,76
58,2,motorbike,998,286,35,63
58,3,motorbike,1034,286,33,59
58,14,motorbike,806,277,17,31
58,2,bigcar,294,478,240,231
58,4,person,984,459,40,161
59,1,smallcar,492,332,52,60
59,2,smallcar,523,285,44,63
59,3,smallcar,950,273,80,53
59,4,smallcar,106,367,66,51
59,5,smallcar,727,270,76,41
59,1,motorbike,831,310,53,76
59,2,motorbike,998,286,36,63
59,3,motorbike,1034,285,33,60
59,14,motorbike,806,277,17,31
59,2,bigcar,310,471,227,222
59,4,person,984,458,40,163
60,1,smallcar,493,332,50,57
60,2,smallcar,525,287,41,60
60,3,smallcar,950,273,80,53
60,4,smallcar,106,367,66,51
60,5,smallcar,727,270,76,41
60,1,motorbike,831,310,53,76
60,2,motorbike,998,286,36,63
60,3,motorbike,1034,285,33,60
60,14,motorbike,806,277,17,31
60,2,bigcar,322,464,216,217
60,4,person,984,458,41,165
61,1,smallcar,493,331,50,57
61,2,smallcar,527,290,38,55
61,3,smallcar,950,273,80,53
61,4,smallcar,107,368,65,50
61,5,smallcar,727,270,76,41
61,1,motorbike,831,310,53,76
61,2,motorbike,998,286,36,64
61,3,motorbike,1034,285,33,61
61,14,motorbike,806,277,17,31
61,2,bigcar,329,458,205,208
61,4,person,983,457,42,169
62,1,smallcar,494,329,49,56
62,2,smallcar,526,289,39,55
62,3,smallcar,950,273,80,53
62,4,smallcar,106,368,67,50
62,5,smallcar,727,270,76,41
62,1,motorbike,831,310,53,76
62,2,motorbike,998,286,36,63
62,3,motorbike,1034,285,33,61
62,14,motorbike,806,277,17,31
62,2,bigcar,340,454,194,200
62,4,person,982,461,41,168
63,1,smallcar,495,328,48,54
63,2,smallcar,525,287,40,56
63,3,smallcar,950,273,80,53
63,4,smallcar,105,367,68,52
63,5,smallcar,727,270,77,41
63,1,motorbike,831,310,53,76
63,2,motorbike,998,286,35,63
63,3,motorbike,1034,285,33,61
63,14,motorbike,806,277,17,31
63,2,bigcar,348,447,186,196
63,4,person,982,461,42,169
64,1,smallcar,496,328,47,54
64,2,smallcar,524,286,41,58
64,3,smallcar,950,273,80,53
64,4,smallcar,105,367,68,52
64,5,smallcar,727,270,76,41
64,1,motorbike,831,310,53,76
64,2,motorbike,998,286,35,63
64,3,motorbike,1034,285,33,61
64,14,motorbike,806,277,17,31
64,2,bigcar,356,443,177,189
65,1,smallcar,496,328,48,53
65,2,smallcar,525,286,41,57
65,3,smallcar,950,273,80,53
65,4,smallcar,105,367,68,52
65,5,smallcar,727,270,77,41
65,1,motorbike,831,310,53,76
65,2,motorbike,998,286,35,63
65,3,motorbike,1034,285,33,61
65,14,motorbike,806,277,17,31
65,2,bigcar,366,438,168,183
66,1,smallcar,496,325,49,56
66,2,smallcar,525,286,40,56
66,3,smallcar,950,273,80,53
66,4,smallcar,105,367,69,52
66,5,smallcar,727,270,77,41
66,1,motorbike,831,310,53,76
66,2,motorbike,998,286,35,63
66,3,motorbike,1034,285,33,61
66,14,motorbike,806,277,17,31
66,2,bigcar,372,432,163,180
67,1,smallcar,496,325,50,57
67,2,smallcar,525,286,40,56
67,3,smallcar,950,273,80,53
67,4,smallcar,105,367,69,52
67,5,smallcar,727,270,77,41
67,1,motorbike,831,310,53,76
67,2,motorbike,998,286,35,63
67,3,motorbike,1034,285,33,61
